,year,delay_type,delay_prop,arr_flights
2,2004,Air Carrier,0.044124207,811808
3,2005,Air Carrier,0.050882879,818071.6
4,2006,Air Carrier,0.056151083,830452.4
5,2007,Air Carrier,0.061439512,852276.2
6,2008,Air Carrier,0.051139365,810009.2
7,2009,Air Carrier,0.043594945,763821.4
8,2010,Air Carrier,0.044392298,766804
9,2011,Air Carrier,0.044095286,742699.2
10,2012,Air Carrier,0.043388804,747097.2
11,2013,Air Carrier,0.047578721,776612.8
12,2014,Air Carrier,0.052673836,721496
21,2004,Weather,0.007951861,811808
31,2005,Weather,0.007260416,818071.6
41,2006,Weather,0.0076637,830452.4
51,2007,Weather,0.008479146,852276.2
61,2008,Weather,0.006947899,810009.2
71,2009,Weather,0.005914477,763821.4
81,2010,Weather,0.005206329,766804
91,2011,Weather,0.004798139,742699.2
101,2012,Weather,0.004347731,747097.2
111,2013,Weather,0.005350267,776612.8
121,2014,Weather,0.005893621,721496
22,2004,NAS,0.090693174,811808
32,2005,NAS,0.08433055,818071.6
42,2006,NAS,0.086215273,830452.4
52,2007,NAS,0.089028852,852276.2
62,2008,NAS,0.087179489,810009.2
72,2009,NAS,0.077546081,763821.4
82,2010,NAS,0.064488693,766804
92,2011,NAS,0.063267557,742699.2
102,2012,NAS,0.053485667,747097.2
112,2013,NAS,0.065346415,776612.8
122,2014,NAS,0.069193093,721496
23,2004,Security,0.000725122,811808
33,2005,Security,0.000515016,818071.6
43,2006,Security,0.000817607,830452.4
53,2007,Security,0.000668818,852276.2
63,2008,Security,0.000445825,810009.2
73,2009,Security,0.000339896,763821.4
83,2010,Security,0.00044145,766804
93,2011,Security,0.000356758,742699.2
103,2012,Security,0.000325489,747097.2
113,2013,Security,0.000361799,776612.8
123,2014,Security,0.000270474,721496
24,2004,Previous Flight,0.056121223,811808
34,2005,Previous Flight,0.061856375,818071.6
44,2006,Previous Flight,0.073198136,830452.4
54,2007,Previous Flight,0.081969085,852276.2
64,2008,Previous Flight,0.071623851,810009.2
74,2009,Previous Flight,0.061957602,763821.4
84,2010,Previous Flight,0.063428999,766804
94,2011,Previous Flight,0.065532786,742699.2
104,2012,Previous Flight,0.060780169,747097.2
114,2013,Previous Flight,0.074014165,776612.8
124,2014,Previous Flight,0.078067172,721496
